time,ax,ay,az,atotal
2.666,2.01,2.85,1.35,3.74
2.676,1.78,5.61,0.02,5.89
2.686,1.43,6.48,-0.54,6.66
2.696,-0.97,4.96,-1.02,5.15
2.706,-2.89,1.48,-0.33,3.26
2.716,-1.38,-1.01,0.16,1.72
2.726,-0.84,1.33,-0.24,1.60
2.736,0.85,5.59,-1.46,5.83
2.745,0.19,7.84,1.46,7.98
2.756,-1.20,6.98,4.11,8.19
2.765,-0.54,0.84,0.20,1.02
2.775,-1.41,-1.95,0.20,2.42
2.785,-0.01,-3.04,0.69,3.12
2.795,-2.32,-1.49,-2.62,3.80
2.805,-2.79,0.43,-0.15,2.83
2.815,-1.82,-0.23,1.00,2.09
2.825,-0.81,0.13,1.48,1.70
2.835,-0.16,2.19,2.10,3.04
2.845,0.45,4.13,1.73,4.50
2.855,-0.60,5.28,1.66,5.57
2.865,-2.22,5.99,0.27,6.40
2.875,-1.25,0.92,0.29,1.58
2.885,0.35,-3.81,0.41,3.84
2.895,1.05,-4.87,2.67,5.65
2.904,1.96,-6.12,4.66,7.94
2.915,1.89,-13.59,0.66,13.74
2.924,1.54,-20.38,-2.46,20.58
2.935,3.80,-14.16,-3.83,15.15
2.944,6.10,-6.70,-1.58,9.20
2.955,2.09,-5.94,1.67,6.52
2.964,0.35,-5.26,3.69,6.44
2.974,0.19,-4.60,-0.31,4.62
2.984,1.51,-5.02,0.95,5.33
2.994,1.60,-4.32,0.26,4.61
3.004,2.00,-3.98,0.14,4.46
3.014,1.60,-3.19,0.75,3.65
3.024,0.64,-2.32,1.10,2.65
3.034,0.31,-1.97,1.27,2.36
3.044,0.12,-1.52,1.30,2.00
3.054,0.15,-0.79,1.63,1.82
3.064,0.87,-0.30,4.15,4.26
3.074,1.55,-1.94,2.44,3.48
3.084,0.29,0.45,-2.30,2.36
3.094,-0.46,2.16,-2.81,3.57
3.103,0.23,0.84,-0.12,0.88
3.113,1.00,-0.37,1.91,2.19
3.123,1.12,-0.32,1.33,1.77
3.133,1.10,-0.38,0.84,1.44
3.143,0.87,-0.60,0.85,1.36
3.153,0.60,-0.57,0.73,1.11
3.163,0.42,-0.51,0.70,0.97
3.173,0.38,-0.39,0.43,0.69
3.183,0.37,-0.47,0.38,0.71
3.193,0.12,-0.49,0.63,0.81
3.203,-0.08,-0.57,1.01,1.17
3.214,-0.19,-0.64,1.09,1.28
3.223,-0.25,-0.65,1.05,1.26
3.233,-0.30,-0.65,1.08,1.30
3.243,-0.21,-0.65,1.09,1.29
3.253,0.02,-0.73,0.97,1.22
3.263,0.33,-0.94,0.92,1.36
3.273,0.63,-1.04,1.05,1.60
3.282,0.71,-1.09,1.33,1.87
3.293,0.72,-1.11,1.55,2.03
3.302,0.63,-1.07,1.68,2.09
3.312,0.44,-0.90,1.79,2.05
3.322,0.20,-0.72,1.80,1.95
3.332,0.08,-0.56,1.63,1.73
3.342,0.16,-0.41,1.38,1.45
3.352,0.44,-0.34,1.13,1.26
3.362,0.75,-0.37,0.97,1.28
3.372,1.02,-0.55,0.99,1.52
3.382,1.17,-0.74,1.13,1.79
3.392,1.17,-0.80,1.29,1.91
3.402,0.94,-0.66,1.34,1.76
3.412,0.47,-0.57,1.39,1.58
3.422,0.21,-0.46,1.38,1.47
3.432,0.09,-0.34,1.33,1.38
3.442,0.04,-0.32,1.39,1.43
3.452,0.22,-0.34,1.41,1.47
3.462,0.54,-0.47,1.43,1.60
3.472,0.88,-0.71,1.47,1.85
3.481,1.13,-0.95,1.44,2.06
3.491,1.24,-1.04,1.35,2.11
3.501,1.06,-1.08,1.38,2.05
3.511,0.78,-1.07,1.46,1.97
3.521,0.85,-0.97,1.29,1.82
3.531,1.04,-0.81,0.76,1.52
3.541,1.15,-0.81,0.40,1.47
3.551,1.51,-0.97,0.35,1.83
3.561,1.93,-1.13,0.20,2.24
3.571,2.28,-1.34,-0.06,2.64
3.581,2.43,-1.53,-0.17,2.88
3.591,2.42,-1.59,-0.11,2.90
3.601,2.17,-1.47,-0.06,2.63
3.611,1.56,-1.48,0.30,2.17
3.621,1.05,-1.48,0.80,1.98
3.631,0.69,-1.24,0.92,1.69
3.641,0.46,-0.93,0.86,1.35
3.651,0.49,-0.85,0.83,1.28
3.660,0.71,-1.17,0.98,1.68
3.670,1.14,-1.45,1.02,2.10
3.681,1.40,-1.63,1.09,2.41
3.690,1.74,-1.75,1.16,2.73
3.700,1.97,-1.77,1.08,2.86
3.710,2.08,-1.75,1.14,2.95
3.720,2.15,-1.58,1.20,2.93
3.730,2.16,-1.24,1.20,2.77
3.740,1.96,-0.93,1.20,2.48
3.750,1.63,-0.66,1.26,2.16
3.760,1.20,-0.41,1.35,1.85
3.770,0.71,-0.28,1.38,1.57
3.780,0.32,-0.19,1.31,1.36
3.790,0.03,-0.23,1.28,1.30
3.800,-0.21,-0.34,1.29,1.36
3.810,-0.25,-0.41,1.23,1.32
3.820,-0.21,-0.58,1.16,1.31
3.830,-0.18,-0.75,1.20,1.43
3.840,-0.20,-0.88,1.32,1.60
3.850,-0.21,-0.99,1.47,1.79
3.859,-0.11,-0.98,1.46,1.77
3.869,-0.12,-1.00,1.45,1.77
3.879,-0.09,-0.86,1.44,1.68
3.889,-0.16,-0.65,1.60,1.73
3.899,-0.16,-0.59,1.86,1.96
3.909,-0.00,-0.60,1.83,1.92
3.919,0.08,-0.64,1.72,1.84
3.929,0.26,-0.59,1.59,1.72
3.939,0.36,-0.70,1.60,1.78
3.949,0.56,-0.90,1.66,1.97
3.959,0.86,-1.08,1.61,2.12
3.969,1.06,-1.17,1.47,2.16
3.979,1.17,-1.22,1.47,2.24
3.989,1.13,-1.17,1.53,2.24
3.999,1.00,-1.07,1.57,2.15
4.009,0.76,-1.00,1.70,2.11
4.019,0.56,-0.89,1.80,2.08
4.029,0.53,-0.83,1.87,2.12
4.038,0.53,-0.80,1.80,2.04
4.049,0.60,-0.86,1.79,2.07
4.058,0.96,-1.02,1.73,2.22
4.068,1.31,-1.10,1.67,2.39
4.078,1.56,-1.24,1.74,2.64
4.088,1.76,-1.31,1.78,2.83
4.098,1.74,-1.35,1.80,2.84
4.108,1.75,-1.23,1.65,2.70
4.118,1.74,-1.05,1.44,2.49
4.128,1.72,-0.95,1.33,2.38
4.138,1.61,-0.81,1.39,2.28
4.148,1.38,-0.75,1.60,2.25
4.158,1.41,-0.66,1.63,2.25
4.168,1.47,-0.58,1.50,2.18
4.178,1.55,-0.54,1.31,2.10
4.188,1.64,-0.73,1.23,2.17
4.198,1.99,-0.91,1.14,2.47
4.208,2.07,-0.97,1.08,2.53
4.218,1.95,-1.13,1.21,2.55
4.227,1.64,-1.21,1.40,2.47
4.237,1.36,-1.21,1.46,2.33
4.247,1.29,-0.94,1.29,2.05
4.257,0.97,-0.88,1.38,1.90
4.267,0.94,-0.96,1.42,1.95
4.277,1.13,-1.01,1.31,2.00
4.287,1.34,-1.18,1.16,2.13
4.297,1.49,-1.28,1.14,2.27
4.307,1.40,-1.25,1.33,2.30
4.317,1.16,-1.15,1.49,2.21
4.327,1.03,-1.05,1.49,2.09
4.337,1.18,-0.79,1.17,1.84
4.347,1.10,-0.66,0.91,1.57
4.357,1.09,-0.79,0.95,1.65
4.367,1.35,-0.75,0.80,1.74
4.377,1.45,-0.82,0.69,1.80
4.387,1.45,-0.95,0.73,1.88
4.397,1.41,-0.98,0.92,1.95
4.407,1.20,-0.83,1.14,1.85
4.416,0.80,-0.71,1.31,1.70
4.427,0.52,-0.67,1.44,1.66
4.436,0.42,-0.52,1.32,1.47
4.446,0.17,-0.57,1.30,1.43
4.456,0.16,-0.66,1.34,1.50
4.466,0.32,-0.71,1.30,1.51
4.476,0.35,-0.75,1.26,1.50
4.486,0.42,-0.70,1.24,1.49
4.496,0.45,-0.64,1.32,1.54
4.506,0.42,-0.60,1.31,1.50
4.516,0.43,-0.54,1.29,1.46
4.526,0.59,-0.42,1.18,1.38
4.536,0.65,-0.36,1.04,1.28
4.546,0.63,-0.37,1.07,1.30
4.556,0.57,-0.38,1.35,1.51
4.566,0.52,-0.28,1.45,1.57
4.576,0.49,-0.08,1.31,1.40
4.586,0.41,0.02,1.30,1.36
4.596,0.43,0.06,1.25,1.32
4.606,0.58,0.12,1.11,1.26
4.615,0.78,0.04,1.01,1.27
4.625,0.88,-0.31,1.03,1.39
4.635,1.02,-0.49,1.06,1.55
4.645,1.18,-0.49,0.91,1.57
4.655,1.25,-0.44,0.77,1.53
4.665,1.12,-0.52,0.86,1.51
4.675,1.05,-0.55,0.94,1.51
4.685,0.87,-0.52,1.06,1.47
4.695,0.69,-0.53,1.18,1.47
4.705,0.48,-0.56,1.29,1.49
4.715,0.35,-0.44,1.51,1.61
4.725,0.24,-0.38,1.69,1.75
4.735,0.34,-0.39,1.65,1.73
4.745,0.48,-0.44,1.50,1.63
4.755,0.69,-0.53,1.39,1.64
4.765,0.99,-0.60,1.39,1.81
4.775,1.28,-0.74,1.33,1.99
4.785,1.65,-0.83,1.20,2.21
4.794,1.90,-0.86,1.18,2.40
4.804,2.04,-0.78,1.19,2.48
4.814,1.92,-0.62,1.36,2.43
4.824,1.67,-0.49,1.56,2.34
4.834,1.31,-0.46,1.77,2.25
4.844,1.05,-0.44,1.95,2.25
4.854,0.83,-0.36,1.99,2.19
4.864,0.79,-0.28,1.76,1.95
4.874,1.09,-0.26,1.28,1.70
4.884,1.41,-0.51,0.83,1.71
4.894,1.88,-0.76,0.50,2.09
4.904,2.16,-1.01,0.63,2.46
4.914,2.26,-1.13,0.97,2.70
4.924,2.03,-1.02,1.26,2.60
4.934,1.50,-0.67,1.65,2.33
4.944,1.02,-0.46,1.84,2.15
4.954,0.99,-0.32,1.60,1.91
4.964,1.02,-0.12,1.14,1.53
4.973,1.20,-0.13,0.69,1.39
4.984,1.49,-0.37,0.55,1.64
4.993,1.68,-0.65,0.77,1.96
5.003,1.89,-0.73,0.90,2.22
5.013,1.80,-0.72,0.88,2.13
5.023,1.62,-0.60,0.77,1.89
5.033,1.39,-0.50,0.68,1.63
5.043,1.19,-0.52,0.62,1.44
5.053,1.13,-0.51,0.53,1.35
5.063,1.03,-0.45,0.59,1.27
5.073,0.89,-0.44,0.76,1.25
5.083,0.69,-0.40,0.91,1.21
5.093,0.44,-0.41,0.95,1.12
5.103,0.32,-0.27,0.81,0.91
5.113,0.26,-0.18,0.65,0.72
5.123,0.16,-0.19,0.59,0.64
5.133,0.09,-0.30,0.77,0.83
5.143,0.01,-0.40,1.02,1.10
5.152,-0.14,-0.33,1.19,1.24
5.163,-0.33,-0.26,1.36,1.42
5.172,-0.50,-0.15,1.49,1.58
5.183,-0.54,0.05,1.47,1.57
5.192,-0.60,0.16,1.47,1.59
5.202,-0.52,0.23,1.44,1.55
5.212,-0.41,0.32,1.35,1.45
5.222,-0.24,0.29,1.22,1.27
5.232,0.00,0.19,1.12,1.14
5.242,0.12,-0.01,1.12,1.13
5.252,0.24,-0.12,1.10,1.13
5.262,0.35,-0.13,1.03,1.10
5.272,0.42,-0.05,0.95,1.04
5.282,0.45,0.03,0.85,0.96
5.292,0.49,0.04,0.82,0.95
5.302,0.64,0.03,0.79,1.01
5.312,0.73,0.04,0.76,1.05
5.322,0.79,-0.02,0.80,1.13
5.331,0.78,-0.09,1.00,1.27
5.342,0.82,-0.19,1.11,1.39
5.351,0.99,-0.27,0.99,1.42
5.361,1.10,-0.35,0.83,1.42
5.371,1.16,-0.41,0.82,1.48
5.381,1.17,-0.43,0.89,1.53
5.391,1.22,-0.50,0.91,1.60
5.401,1.31,-0.53,0.80,1.63
5.411,1.42,-0.52,0.75,1.69
5.421,1.53,-0.44,0.76,1.77
5.431,1.52,-0.40,0.90,1.81
5.441,1.57,-0.33,1.05,1.92
5.451,1.49,-0.25,1.26,1.97
5.461,1.44,-0.14,1.42,2.03
5.471,1.43,-0.01,1.37,1.98
5.481,1.53,0.03,1.28,1.99
5.491,1.70,0.03,1.21,2.09
5.501,1.73,-0.02,1.24,2.13
5.511,1.73,-0.17,1.33,2.18
5.521,1.74,-0.24,1.37,2.23
5.531,1.74,-0.24,1.41,2.25
5.541,1.71,-0.12,1.36,2.19
5.550,1.68,-0.00,1.28,2.12
5.561,1.65,0.02,1.34,2.12
5.570,1.66,-0.00,1.43,2.19
5.581,1.62,-0.02,1.43,2.16
5.590,1.57,-0.02,1.45,2.14
5.600,1.49,0.05,1.45,2.08
5.610,1.46,0.16,1.26,1.94
5.620,1.42,0.14,1.15,1.83
5.630,1.36,0.10,1.18,1.80
5.640,1.24,0.08,1.34,1.82
5.650,1.05,0.17,1.42,1.77
5.660,0.91,0.23,1.28,1.59
5.670,0.84,0.26,0.99,1.32
5.680,0.80,0.24,0.85,1.19
5.690,0.78,0.17,0.81,1.14
5.700,0.78,0.12,0.83,1.15
5.710,0.80,0.17,0.77,1.12
5.720,0.75,0.16,0.64,1.00
5.729,0.72,0.17,0.51,0.90
5.740,0.62,0.17,0.47,0.80
5.749,0.52,0.15,0.45,0.70
5.760,0.45,0.15,0.48,0.67
5.769,0.36,0.20,0.44,0.60
5.779,0.20,0.21,0.43,0.52
5.789,0.06,0.21,0.44,0.50
5.799,-0.04,0.24,0.43,0.49
5.809,-0.13,0.23,0.41,0.49
5.819,-0.15,0.23,0.42,0.51
5.829,-0.14,0.22,0.43,0.50
5.839,-0.06,0.24,0.42,0.49
5.849,-0.03,0.25,0.42,0.49
5.859,0.04,0.22,0.52,0.56
5.869,0.13,0.21,0.55,0.60
5.879,0.21,0.24,0.53,0.62
5.889,0.27,0.36,0.59,0.74
5.899,0.29,0.45,0.66,0.85
5.909,0.42,0.40,0.65,0.87
5.919,0.56,0.38,0.53,0.86
5.928,0.66,0.33,0.40,0.84
5.938,0.62,0.28,0.49,0.84
5.948,0.63,0.17,0.66,0.93
5.958,0.73,0.09,0.59,0.94
5.968,0.84,-0.01,0.42,0.94
5.978,0.86,-0.03,0.24,0.89
5.988,0.77,-0.03,0.24,0.81
5.998,0.60,-0.08,0.47,0.76
6.008,0.41,-0.09,0.60,0.73
6.018,0.36,0.00,0.49,0.61
6.028,0.33,0.18,0.46,0.60
6.038,0.20,0.26,0.57,0.66
6.048,0.18,0.19,0.70,0.75
6.058,0.32,0.14,0.54,0.64
6.068,0.71,0.16,0.19,0.75
6.078,0.98,0.09,-0.00,0.98
6.088,1.08,-0.06,0.15,1.10
6.098,1.08,-0.17,0.44,1.18
6.107,1.13,-0.10,0.66,1.31
6.118,1.01,0.10,0.71,1.24
6.127,0.79,0.38,0.69,1.12
6.137,0.56,0.53,0.63,1.00
6.147,0.52,0.50,0.53,0.89
6.157,0.61,0.35,0.46,0.85
6.167,0.72,0.18,0.59,0.95
6.177,0.62,0.11,0.86,1.07
6.187,0.49,0.02,1.13,1.23
6.197,0.29,-0.08,1.31,1.34
6.207,0.18,-0.09,1.40,1.41
6.217,0.14,-0.03,1.38,1.39
6.227,0.16,0.06,1.40,1.41
6.237,0.23,0.09,1.41,1.43
6.247,0.41,0.19,1.30,1.38
6.257,0.60,0.17,1.18,1.34
6.267,0.87,0.18,1.15,1.45
6.277,1.00,0.24,1.22,1.59
6.286,1.08,0.36,1.15,1.62
6.296,1.19,0.38,1.08,1.65
6.306,1.26,0.44,1.02,1.68
6.317,1.37,0.47,0.87,1.69
6.326,1.46,0.38,0.76,1.69
6.336,1.45,0.30,0.66,1.62
6.346,1.50,0.36,0.50,1.63
6.356,1.46,0.25,0.61,1.61
6.366,1.27,0.13,0.86,1.54
6.376,1.02,0.17,0.95,1.40
6.386,0.76,0.17,0.94,1.22
6.396,0.40,0.18,1.05,1.14
6.406,0.11,0.18,1.22,1.24
6.416,0.02,0.29,1.21,1.25
6.426,0.08,0.38,1.07,1.14
6.436,0.17,0.35,1.01,1.08
6.446,0.24,0.23,1.07,1.12
6.456,0.48,0.15,1.11,1.22
6.466,0.67,0.07,1.14,1.32
6.476,0.69,0.03,1.24,1.42
6.485,0.58,0.05,1.33,1.45
6.496,0.44,0.09,1.52,1.58
6.505,0.33,0.15,1.67,1.71
6.515,0.35,0.40,1.58,1.67
6.525,0.33,0.63,1.48,1.64
6.535,0.47,0.68,1.31,1.55
6.545,0.83,0.43,1.02,1.39
6.555,1.43,0.13,0.75,1.62
6.565,1.83,-0.06,0.61,1.93
6.575,2.17,-0.03,0.37,2.20
6.585,2.13,-0.05,0.27,2.15
